Name,r,claimedtype,redshift,alias,spectrum_count,in_anderson,in_cccp,in_pantheon,in_sanders,spec_class
ASASSN-13ax,122,Dwarf Nova,,ASASSN-13ax,0,0,0,0,0,0
ASASSN-13cu,4,Ia,0.0272,ASASSN-13cu;PS1-13dbv,0,0,0,0,0,0
ASASSN-13dd,3,Ia,0.012549,ASASSN-13dd;iPTF13drr;<a id="PSNJ09073675+0323397">PSN J09073675+0323397</a>,1,0,0,0,0,0
ASASSN-13dl,27,Ia,0.027,ASASSN-13dl;PTF13een,0,0,0,0,0,0
ASASSN-14ae,73,TDE,0.043671,ASASSN-14ae;iPTF14aiv,17,0,0,0,0,1
ASASSN-14az,6,IIb,0.006731,ASASSN-14az;Gaia14age;MLS140831:234448-020701,1,0,0,0,0,0
ASASSN-14bb,8,Ia,0.022;0.023,ASASSN-14bb;iPTF14axo,1,0,0,0,0,0
ASASSN-14dq,97,II;IIb,0.010424,ASASSN-14dq,0,0,0,0,0,0
ASASSN-14ha,133,II,0.005017,ASASSN-14ha,10,0,0,0,0,1
ASASSN-14hi,163,CV,,ASASSN-14hi,0,0,0,0,0,0
ASASSN-14hj,3,CV,,ASASSN-14hj,0,0,0,0,0,0
ASASSN-14hk,2,CV,,ASASSN-14hk,0,0,0,0,0,0
ASASSN-14jg,16,Ia,0.014827,ASASSN-14jg,1,0,0,0,0,0
ASASSN-14kg,44,II,0.014477,ASASSN-14kg,0,0,0,0,0,0
ASASSN-14lp,114,Ia,0.005101,ASASSN-14lp,27,0,0,0,0,1
ASASSN-15ae,12,Ia,0.031238,ASASSN-15ae;Gaia15aaj,1,0,0,0,0,0
ASASSN-15al,12,Ia,0.03,ASASSN-15al;Gaia15aah,1,0,0,0,0,0
ASASSN-15bc,7,Ia;Ia-91T,0.036715,ASASSN-15bc,0,0,0,0,0,0
ASASSN-15bk,11,Ia,0.034277,ASASSN-15bk;Gaia15aao;PS15yq,1,0,0,0,0,0
ASASSN-15bm,3,Ia,0.021,ASASSN-15bm,0,0,0,0,0,0
ASASSN-15dc,2,Ia,0.041605,ASASSN-15dc;PS15ag,0,0,0,0,0,0
ASASSN-15ed,1,Ibn;Ib,0.04866,ASASSN-15ed;PS15nk,15,0,0,0,0,1
ASASSN-15fa,99,Ia;Ia-91T,0.027408,ASASSN-15fa;Gaia15adb,1,0,0,0,0,0
ASASSN-15fs,12,Ia,0.02902,ASASSN-15fs;Gaia15afh;PS15aij,0,0,0,0,0,0
ASASSN-15ga,7,Ia;Ia-91bg,0.006631,ASASSN-15ga,0,0,0,0,0,0
ASASSN-15go,4,Ia,0.018923,ASASSN-15go,1,0,0,0,0,0
ASASSN-15hg,7,Ia,0.029771,ASASSN-15hg,0,0,0,0,0,0
ASASSN-15hy,6,Ia Pec,0.025;0.032,ASASSN-15hy;PS15aou,1,0,0,0,0,0
ASASSN-15il,9,Ia,0.023316,ASASSN-15il,0,0,0,0,0,0
ASASSN-15jl,7,Ia,0.034746,ASASSN-15jl;PS15aol,0,0,0,0,0,0
ASASSN-15jt,9,Ia,0.022999,ASASSN-15jt,0,0,0,0,0,0
ASASSN-15kx,7,Ia,0.018019,ASASSN-15kx,1,0,0,0,0,0
ASASSN-15kz,4,II P,0.008022,ASASSN-15kz;PS15axg,0,0,0,0,0,0
ASASSN-15la,13,Ia,0.027903,ASASSN-15la;PS15bdj,0,0,0,0,0,0
ASASSN-15lg,6,Ia,0.020317,ASASSN-15lg,0,0,0,0,0,0
ASASSN-15li,2,Ia,0.0261,ASASSN-15li;PS15bdl,0,0,0,0,0,0
ASASSN-15lo,4,Ia,0.04,ASASSN-15lo;PS15bby,0,0,0,0,0,0
ASASSN-15lu,7,Ia,0.035037,ASASSN-15lu,0,0,0,0,0,0
ASASSN-15mf,6,Ia,0.026,ASASSN-15mf,0,0,0,0,0,0
ASASSN-15mg,8,Ia,0.0428,ASASSN-15mg,1,0,0,0,0,0
ASASSN-15mi,6,Ia Pec;Ia-91T,0.034446,ASASSN-15mi,1,0,0,0,0,0
ASASSN-15no,19,Ic,0.043,ASASSN-15no,0,0,0,0,0,0
ASASSN-15np,5,Ia,0.037688,ASASSN-15np,1,0,0,0,0,0
ASASSN-15nq,6,Ia,0.030418,ASASSN-15nq,1,0,0,0,0,0
ASASSN-15nr,12,Ia;Ia-91T,0.023206,ASASSN-15nr,0,0,0,0,0,0
ASASSN-15nx,27,II Pec,0.026,ASASSN-15nx,1,0,0,0,0,0
ASASSN-15od,6,Ia,0.017989,ASASSN-15od;PS15bxd;DES15X3iv,0,0,0,0,0,0
ASASSN-15oh,5,Ia,0.016835,ASASSN-15oh,0,0,0,0,0,0
ASASSN-15pm,7,Ia,0.048784,ASASSN-15pm;PS15ckl;CSS150913:013836-044047,0,0,0,0,0,0
ASASSN-15pn,7,Ia,0.038393,ASASSN-15pn,0,0,0,0,0,0
